doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ueh-academic-advising-regulation,data/ueh_university/ueh-academic-advising-regulation.md,Quy định công tác tư vấn học tập đối với sinh viên hệ đại học chính quy – Đào tạo UEH,https://daotao.ueh.edu.vn/quy-dinh-cong-tac-tu-van-hoc-tap-doi-voi-sinh-vien-he-dai-hoc-chinh-quy/,2026-08-03,2016-10-24,public-page
ueh-course-registration-guide,data/ueh_university/ueh-course-registration-guide.md,"Thông báo hướng dẫn đăng ký học phần trực tuyến cho sinh viên ĐHCQ; LTĐHCQ, VB2ĐHCQ – Đào tạo UEH",https://daotao.ueh.edu.vn/thong-bao-huong-dan-dang-ky-hoc-phan-truc-tuyen-cho-sinh-vien-dhcq-ltdhcq-vb2dhcq/,2026-08-03,not-stated,public-page
ueh-course-registration-plan-hk-cuoi-2025,data/ueh_university/ueh-course-registration-plan-hk-cuoi-2025.md,"Thông báo kế hoạch đăng ký học phần và nộp học phí – Học kỳ cuối – Năm 2025 đối với sinh viên Đại học chính quy, Văn bằng 2, Liên thông ĐHCQ, Vừa làm vừa học – Đào tạo UEH",https://daotao.ueh.edu.vn/thong-bao-ke-hoach-dang-ky-hoc-phan-va-nop-hoc-phi-hoc-ky-cuoi-nam-2025-doi-voi-sinh-vien-dai-hoc-chinh-quy-van-bang-2-lien-thong-dhcq-vua-lam-vua-hoc/,2026-08-03,2025-hoc-ky-cuoi,public-page
ueh-dorm-fee-2025,data/ueh_university/ueh-dorm-fee-2025.md,Thông báo Khung thời gian thu nội trú phí Ký túc xá UEH năm 2025 – Ban Chăm sóc người học,https://dsa.ueh.edu.vn/tin-tuc/thong-bao-khung-thoi-gian-thu-noi-tru-phi-ky-tuc-xa-ueh-nam-2025/,2026-08-03,2025,public-page
ueh-dorm-fee-2026-q3,data/ueh_university/ueh-dorm-fee-2026-q3.md,"Thông báo về việc thu nội trú phí Ký túc xá Quý III/2026 (Tháng 7,8,9 năm 2026) – Ban Chăm sóc người học",https://dsa.ueh.edu.vn/tin-tuc/thong-bao-ve-viec-thu-noi-tru-phi-ky-tuc-xa-quy-iii-2026-thang-789-nam-2026/,2026-08-03,2026-q3,public-page
ueh-library-reading-culture,data/ueh_university/ueh-library-reading-culture.md,Văn hóa đọc tại UEH: Khi tri thức trở thành “vốn liếng” của những nhà lãnh đạo tương lai – Ban Chăm sóc người học,https://dsa.ueh.edu.vn/tin-tuc/van-hoa-doc-tai-ueh-khi-tri-thuc-tro-thanh-von-lieng-cua-nhung-nha-lanh-dao-tuong-lai/,2026-08-03,not-stated,public-page
ueh-scholarship-policy-overview,data/ueh_university/ueh-scholarship-policy-overview.md,Chính sách học bổng UEH – Ban Chăm sóc người học,https://dsa.ueh.edu.vn/tin-tuc/chinh-sach-hoc-bong/,2026-08-03,not-stated,public-page
ueh-scholarship-regulation,data/ueh_university/ueh-scholarship-regulation.md,Quy định xét cấp học bổng khuyến khích học tập cho sinh viên Đại học chính quy – Đào tạo UEH,https://daotao.ueh.edu.vn/quy-dinh-xet-cap-hoc-bong-khuyen-khich-hoc-tap-cho-sinh-vien-dai-hoc-chinh-quy/,2026-08-03,not-stated,public-page
ueh-student-card-services,data/ueh_university/ueh-student-card-services.md,THẺ SINH VIÊN – Ban Chăm sóc người học,https://dsa.ueh.edu.vn/chuyen-trang-ho-tro-dich-vu-tien-ich-ueh/the-sinh-vien/,2026-08-03,not-stated,public-page
ueh-tuition-fee-2026-2027,data/ueh_university/ueh-tuition-fee-2026-2027.md,"Thông báo về mức học phí các hệ đào tạo năm học 2026-2027 (học kỳ cuối 2026, học kỳ đầu 2027) và chính sách hỗ trợ học phí học kỳ cuối 2026 – Ban Chăm sóc người học",https://dsa.ueh.edu.vn/tin-tuc/thong-bao-ve-muc-hoc-phi-cac-he-dao-tao-nam-hoc-2026-2027-hoc-ky-cuoi-2026-hoc-ky-dau-2027-va-chinh-sach-ho-tro-hoc-phi-hoc-ky-cuoi-2026/,2026-08-03,2026-2027,public-page
